S.No.,Property_Name,Price_in_INR,No_of_Bedroom,Property_type,No_of_Bathroom,Carpet_Area(Sq Ft),Garden,Property Status,Parking,Council_Tax
1606,"Widdowson Place, AYLESBURY",38693650,3,Terraced,3,0,Back garden,-,Off street,Band: D
1607,"Cambridge Street, Aylesbury",38582339,2,Retirement Property,1,0,Yes,"TENURE
Leasehold",Yes,Ask agent
1608,"Cambridge Street, Aylesbury",38582339,2,Flat,1,0,Yes,"TENURE
Leasehold",Yes,Band: C
1609,"Taylor Road, Aylesbury",38163600,3,Semi-Detached,1,1000,Yes,-,Yes,Band: C
1610,"Foskett Way, Aylesbury",38163600,3,Terraced,2,926000,Yes,-,Yes,Band: D
1611,"Meadowcroft, Aylesbury",38163600,3,End of Terrace,1,0,Yes,-,Yes,Band: C
1612,"Arncott Way, Aylesbury *NO CHAIN*",38163600,3,End of Terrace,2,818000,Private garden,-,"Garage,",Band: C
1613,"Thrasher Road, Southcourt, Aylesbury",38163600,3,Semi-Detached,1,893000,Yes,-,Yes,Band: B
1614,"Fuggle Drive, The Green, Aylesbury",37103500,3,Terraced,2,0,Yes,-,Yes,Band: D
1615,"Lester Road, Aylesbury, Buckinghamshire, HP20",37103500,2,Apartment,1,791000,Yes,"TENURE
Leasehold",Ask agent,Band: TBC
1616,"Tamar Close, Aylesbury, HP21 9HG",37103500,3,Terraced,1,0,Yes,-,Yes,Band: C
1617,"Apollo Close, Aylesbury",37103500,3,Semi-Detached,2,0,Back garden,-,Yes,Band: D
1618,"Prebendal Avenue, Aylesbury",37103500,4,Bungalow,2,0,"Back garden,",-,Off street,Band: B
1619,"Meredith Drive, AYLESBURY, HP19 8NH",37103500,3,Semi-Detached,1,0,Yes,-,Yes,Band: C
1620,"Jannetta Close, AYLESBURY, HP20 1AE",37103500,2,Semi-Detached,2,0,Yes,-,Yes,Band: C
1621,"Prince Rupert Drive, Aylesbury, HP19",37103500,3,Terraced,2,0,Yes,-,Yes,Band: TBC
1622,"Spruce Road, Aylesbury",37103500,3,Detached,2,0,Back garden,-,Off street,Band: D
1623,"Dunsham Lane, Aylesbury",37103500,3,Semi-Detached,1,0,Yes,-,Yes,Band: C
1624,"Cannock Road, Aylesbury, HP20",37103500,3,Semi-Detached,1,1000,Yes,-,Off street,Band: C
1625,"White View, Aylesbury, Buckinghamshire",30212850,2,Semi-Detached,1,0,Yes,-,Yes,Band: D
1626,"Clivedon Way, Aylesbury, HP19",37103500,3,Detached,904,0,Yes,-,Off street,Band: D
1627,"Oscar Lodge, Aylesbury",37098199,2,Retirement Property,1,0,Yes,"TENURE
Leasehold",Yes,Band: C
1628,Chappell Close,36573450,3,End of Terrace,2,0,Yes,-,Yes,Ask agent
1629,"Weill Road, AYLESBURY",36043400,3,Terraced,1,0,Yes,-,Yes,Band: C
1630,"Prebendal Avenue, Aylesbury, HP21",36043400,3,Semi-Detached,1,0,Private garden,-,"Garage,",Band: B
1631,"Maybrick Road, Broughton, AYLESBURY",36043400,2,Detached,1,0,"Back garden,",-,Off street,Band: C
1632,"Eighth Avenue, Aylesbury",36043400,2,Terraced,1,0,Yes,-,Ask agent,Ask agent
1633,"Pluto Way, Buckingham Park, Aylesbury (no Chain)",36043400,3,Terraced,3,852000,Yes,-,Yes,Band: D
1634,"Eighth Avenue, Aylesbury",36043400,2,Terraced,1,786000,Yes,-,Ask agent,Ask agent
1635,"Carrington Road, Aylesbury, HP21",35513350,3,Semi-Detached,1,0,Yes,-,Yes,Band: TBC
1636,"Walton Green, Aylesbury",35513350,3,House,1,0,Yes,-,Yes,Band: B
1637,Bierton Road,35513350,3,Terraced,1,0,Yes,-,Yes,Ask agent
1638,"Cromwell Avenue, Aylesbury",35513350,2,Semi-Detached,1,850000,Private garden,-,Yes,Band: C
1639,"Aylesbury, Buckinghamshire, HP19",35513350,2,Semi-Detached,853,0,Yes,-,"Garage,",Band: C
1640,"Meadowcroft, Aylesbury, Buckinghamshire",35248325,3,Semi-Detached,1,0,Yes,-,Yes,Band: C
1641,"Carlton Close, Aylesbury",34983300,3,Terraced,1,0,Back garden,-,Off street,Band: B
1642,"Brent Path, Aylesbury",34983300,3,End of Terrace,1,0,Yes,-,Yes,Band: C
1643,"Constable Place, Aylesbury",34453250,2,Semi-Detached,1,0,Yes,-,Yes,Band: C
1644,"Burnet Lane, Broughton, Aylesbury, HP22 7DD",34453250,2,End of Terrace,1,0,Rear garden,-,Yes,Band: C
1645,"St Catherines Court, Aylesbury",34453250,3,Semi-Detached,1,0,"Back garden,",-,Off street,Band: B
1646,"Arncott Way, Aylesbury, HP19",34453250,3,Terraced,1,778000,Yes,-,"Garage,",Band: C
1647,"Paterson Road, Aylesbury",34453250,3,End of Terrace,1,0,Yes,-,Yes,Band: B
1648,"Aylesbury, Buckinghamshire, HP19",34453250,2,Terraced,1,809000,Yes,-,Off street,Band: C
1649,"Bittern Way, Watermead, Aylesbury",34453250,2,Terraced,1,646000,Yes,-,Yes,Band: C
1650,"New Meadow, Aylesbury, Buckinghamshire",55655250,4,Detached Bungalow,2,0,Yes,-,Yes,Band: D
1651,Grenville Road,34453250,3,Semi-Detached,1,0,Yes,-,Yes,Ask agent
1652,"Ditchingham Close, Aylesbury",34453250,2,Semi-Detached,1,0,Yes,-,Yes,Ask agent
1653,"Cubb Field, Aylesbury",34453250,2,Semi-Detached,1,0,Yes,-,Yes,Band: C
1654,"Quarrendon Avenue, AYLESBURY, HP19 9JR",34453250,3,Terraced,1,0,Yes,-,Yes,Band: B
1655,"Meadowcroft, Aylesbury, Buckinghamshire",34453250,3,Terraced,1,0,Yes,-,Yes,Band: C
1656,"Little Close, Aylesbury, HP20",34453250,3,End of Terrace,1,743000,Yes,-,Yes,Ask agent
1657,"Timms Close, Aylesbury, HP20 1AZ",34453250,2,End of Terrace,1,0,Yes,-,Yes,Band: C
1658,"St Peters Avenue, AYLESBURY",34453250,3,Terraced,1,0,"Back garden,",-,Garage,Band: C
1659,"Aylesbury, Buckinghamshire, HP19",34453250,3,Semi-Detached,1,1000,Yes,-,Off street,Band: C
1660,"Nene Close, Walton Court, Aylesbury",34453250,3,Terraced,1,0,Yes,-,Ask agent,Ask agent
1661,Leyfield Road,34453250,2,Bungalow,1,0,Yes,-,Yes,Ask agent
1662,"Meadowcroft, Aylesbury",33923200,2,Semi-Detached,1,0,Yes,-,Yes,Ask agent
1663,"Base Close, Aylesbury",33817190,2,Semi-Detached,1,0,Yes,-,Yes,Band: C
1664,"Savernake Road, Aylesbury",33393150,4,Semi-Detached,1,0,Yes,-,Yes,Band: D
1665,"St. Annes Road, AYLESBURY, HP19 7RB",33393150,3,Terraced,1,0,Yes,-,Yes,Band: B
1667,"Beeston Lane, Buckingham Park, Aylesbury",33393150,2,End of Terrace,1,0,Yes,-,Yes,Band: C
1668,"Stocklake, Aylesbury",32863100,3,Semi-Detached,1,915000,Yes,-,Ask agent,Band: C
1669,"Chaloner Place, Aylesbury, Buckinghamshire",32863100,3,End of Terrace,1,0,Yes,-,Yes,Band: B
1670,"Chadbone Close, Aylesbury",32863100,3,Terraced,1,0,Yes,-,On street,Band: C
1671,"Anton Way, Hawslade, Aylesbury",32863100,2,Semi-Detached,1,657000,Yes,-,Garage,Band: C
1672,"Parsons Fee, Aylesbury, Buckinghamshire, HP20",32863100,2,House,1,716000,Yes,-,Yes,Band: D
1673,"Green Acre, Turnfurlong, Aylesbury",32863100,2,Maisonette,1,0,Yes,"TENURE
Leasehold",Yes,Band: C
1674,"Stonebridge Road, Aylesbury, HP19",32863100,2,Semi-Detached,1,776000,Yes,-,Off street,Band: B
1675,"Queens Mead, Aylesbury",56715350,4,Semi-Detached,2,0,Yes,-,Yes,Band: E
1676,"Friarscroft Way, Aylesbury, Buckinghamshire",32863100,2,Terraced,1,0,Yes,-,Yes,Band: C
1677,"Barnard Crescent, Aylesbury",32863100,3,End of Terrace,1,0,Back garden,-,Off street,Band: B
1678,"Hemingway Road, Aylesbury",31803000,4,Semi-Detached,1,0,Yes,-,Off street,Band: C
1679,"Fowler Road, Aylesbury",31803000,3,Terraced,1,0,"Back garden,",-,Ask agent,Band: B
1680,"Wyatt Way, Aylesbury",31803000,2,House,2,0,Back garden,-,Garage,Band: D
1681,"Stonehaven Road, Aylesbury, HP19",31803000,3,Semi-Detached,1,0,Private garden,-,"Garage,",Band: C
1682,"Chantry Road, Aylesbury, HP19 9NG",31803000,2,Semi-Detached,2,0,Yes,-,Yes,Band: B
1683,"Willow Road, Aylesbury, Buckinghamshire",31803000,3,Terraced,1,0,Yes,-,Ask agent,Ask agent
1684,"Aylesbury, Buckinghamshire, HP19",31803000,3,Terraced,995,0,Yes,-,Off street,Band: C
1685,"Dunsham Court, Aylesbury, HP20",31803000,2,Detached Bungalow,569,0,Ask agent,-,Off street,Band: B
1686,"Tamar Close, Hawkslade, Aylesbury",31803000,3,Terraced,1,0,"Back garden,",-,Garage,Band: C
1687,"Aylesbury, Buckinghamshire, HP21",31803000,2,Terraced,1,745000,Yes,-,Ask agent,Band: C
1688,"Park Street, Aylesbury, HP20",31803000,3,Terraced,1,0,Yes,-,Ask agent,Band: TBC
1689,"Hastoe Park, Aylesbury",31803000,2,Semi-Detached,1,0,"Back garden,","TENURE
Leasehold",Garage,Band: B
1690,"Argyle Avenue, Aylesbury, Buckinghamshire",31803000,3,Terraced,1,0,Yes,-,Yes,Ask agent
1691,"Tamar Close, Aylesbury",31803000,3,Terraced,1,0,Yes,-,Garage,Band: C
1692,"Mount Street, Aylesbury, Buckinghamshire, HP20",31803000,3,Terraced,1,0,Yes,-,Ask agent,Band: TBC
1693,"Kingsgate, Aylesbury",31803000,2,Terraced,1,0,Yes,-,Garage,Band: C
1694,Hastoe Park,31803000,2,Semi-Detached,1,0,Ask agent,-,Yes,Ask agent
1695,"Park Street, Aylesbury",31803000,3,Terraced,1,0,Yes,-,Ask agent,Band: B
1696,"Wedgewood Street, Aylesbury",31803000,2,End of Terrace,1,0,Back garden,-,Garage,Band: C
1697,"Ravensbourne Road, Aylesbury",31803000,2,Semi-Detached,1,0,"Back garden,",-,Yes,Band: C
1698,"Howletts Close, Aylesbury",31803000,2,End of Terrace,1,0,Yes,-,Yes,Band: C
1699,"Hastoe Park, Aylesbury",31803000,2,Semi-Detached,1,871000,Ask agent,-,Yes,Band: B
1700,"Brackens Drive, Warley, Brentwood",58305500,3,Detached,1,1000,Yes,-,Yes,Band: E
1701,"Ridgeway, Hutton Mount, Brentwood, Essex, CM13",583055000,6,Detached,6,7000,Private garden,-,Driveway,Ask agent
1702,"Heronway, Hutton",530050000,5,Detached,4,5000,Yes,-,Yes,Band: H
1703,"Hillwood Grove, Hutton Mount",530050000,6,Detached,4,7000,Yes,-,Ask agent,Ask agent
1704,"Wigley Bush Lane, South Weald, Brentwood, Essex, CM14",530050000,7,Detached,3,0,Yes,-,Ask agent,Band: H
1706,"Hillwood Grove, Hutton Mount, Brentwood",461143500,6,Detached,5,0,Ask agent,-,Ask agent,Ask agent
1707,"Greenway, Hutton, Brentwood, CM13",455843000,6,Detached,5,0,Yes,-,Yes,Ask agent
1708,"School Road, Kelvedon Hatch, Brentwood, Essex, CM15",386936500,5,Detached,5511,0,Yes,-,Yes,Band: TBC
1709,"Hay Green Lane, Blackmore, CM4",371035000,4,Detached,2,0,Yes,-,Yes,Band: H
1710,"Church Lane, Hutton, Brentwood",371035000,7,Detached,3,6000,Yes,-,"On street,",Band: H
1711,"Hutton Mount, Brentwood, CM13",371035000,5,Detached,5,5000,Yes,-,Ask agent,Band: H
1712,"Greenway, Hutton Mount, Brentwood",344532500,6,Detached,5,0,Yes,-,Yes,Ask agent
1713,"Middle Road, Ingrave, Essex",318030000,6,Detached,4,0,Yes,-,Yes,Ask agent
1714,"Hillwood Grove, Hutton Mount, Brentwood",318024699,5,Detached,3,0,Yes,-,Yes,Ask agent
1715,"Hillwood Grove, Hutton Mount, Brentwood, Essex, CM13",318024699,5,Detached,3,0,Yes,-,Yes,Ask agent
1716,"Thorndon Approach, Herongate, Brentwood",304778750,5,Detached,4,5000,Yes,-,Yes,Ask agent
1717,"Ridgeway, Hutton Mount, Brentwood",296828000,4,Detached,4,0,Yes,-,Yes,Ask agent
1718,"Hay Green Lane, Hook End, CM15",286227000,6,Detached,4,0,Yes,-,Yes,Band: H
1719,"** SIGNATURE HOME ** Hay Green Lane, Hook End, Brentwood",286227000,6,Detached,5075,0,Yes,-,Yes,Band: H
1720,"Warley Road, Great Warley, CM13",286227000,4,Detached,3,0,Yes,-,Yes,Band: H
1721,"Ongar Road, Kelvedon Hatch, Brentwood",265025000,4,Detached,4,4000,Ask agent,-,Yes,Band: G
1722,"Herington Grove, Hutton Mount, Brentwood, Essex, CM13",265025000,5,Detached,4,3000,Private garden,-,Driveway,Ask agent
1723,"Sandpit Lane, Pilgrims Hatch, Brentwood, CM14",265025000,4,Detached,2,0,Yes,-,Yes,Band: G
1724,"Heronway, Hutton Mount, CM13",243823000,5,Detached,4,0,Yes,-,Yes,Band: G
1725,"Brook Road, Brentwood",84808000,4,Detached,2,0,Private garden,-,Off street,Band: F
1726,"Weald Park Way, South Weald, Brentwood, CM14 5QH",238522500,5,Detached,7,6000,Yes,-,Yes,Band: F
1727,"Coombe Rise, Shenfield, Brentwood, Essex, CM15",238522500,5,Detached,4,0,Yes,-,Yes,Ask agent
1728,"Glanthams Close, Shenfield, CM15",238522500,5,Detached,4,3000,Yes,-,Yes,Band: G
1729,"Weald Park Way, South Weald",238522500,5,Detached,4,0,Yes,-,Yes,Ask agent
1730,"Ongar Road, Kelvedon Hatch, Brentwood, CM15 0LA",238522500,7,Detached,3,5000,Yes,-,On street,Band: H
1731,"Frog Street, Kelvedon Hatch, Brentwood",235872250,4,Detached,4,0,Yes,-,Ask agent,Band: H
1732,"Heronway, Hutton Mount, Brentwood",233222000,5,Detached,5,3000,Yes,-,Yes,Ask agent
1733,"Mill Hill, Shenfield, Brentwood",227921500,4,Detached,3,0,Yes,-,Yes,Ask agent
1734,"Park Avenue, Hutton, Brentwood",212020000,7,Detached,6,0,Yes,-,Yes,Ask agent
1736,"Beredens Lane, Brentwood, Essex",212020000,6,Detached,8,4000,Private garden,-,"Garage,",Band: G
1737,"Park Avenue, Hutton, CM13",212020000,6,Detached,5,0,Yes,-,Yes,Band: G
1738,"Worrin Road, Shenfield, Brentwood",212019893,5,Detached,4,0,Yes,-,Yes,Ask agent
1739,"Ashwells Road, Pilgrims Hatch, Brentwood",206719500,7,Barn Conversion,7,0,Ask agent,-,Yes,Ask agent
1740,"Ashwells Road, Pilgrims Hatch, Brentwood, CM15 9SE",206719500,7,Barn Conversion,7,4000,Yes,-,Yes,Band: H
1741,"Ashwells Road, Pilgrims Hatch",206719500,7,Detached,3,4000,Yes,-,Yes,Band: H
1742,"Spurgate, Hutton, Brentwood, CM13",201419000,4,Detached,4,0,Yes,-,Yes,Ask agent
1743,"Wambrook Close, Hutton, Brentwood, CM13",198768750,5,Detached,3,0,Yes,-,Yes,Ask agent
1744,"Priests Lane, Shenfield, Brentwood",190818000,5,Detached,4,3000,Yes,-,Yes,Band: G
1746,"Hartswood Road, Warley",185517500,4,Detached,3,2000,Ask agent,-,Yes,Band: H
1747,"Mount Avenue, Hutton Mount, CM13",185517500,5,Detached,2,0,Yes,-,Yes,Band: H
1748,"Chivers Road, Stondon Massey, CM15",185517500,5,Bungalow,3,0,Yes,-,Yes,Band: F
1749,"Shenfield Road, Shenfield, Brentwood, CM15",185517500,4,Detached,3,0,Yes,-,Yes,Ask agent
1750,"Willow Close, Nr Hutton Mount, Brentwood, Essex, CM13",137813000,3,Detached,3,1000,Private garden,-,Driveway,Ask agent
1751,"Warley Hill, Brentwood",185517500,5,Detached,2,0,Yes,-,Yes,Ask agent
1752,"Baymans Wood, Old Shenfield, CM15",179686950,5,Detached,3,2000,Yes,-,Yes,Band: G
1753,"Ridgeway, Hutton, Brentwood, CM13",179686950,5,Detached,3,0,Yes,-,Yes,Ask agent
1754,"** SIGNATURE HOME ** Blackmore Road, Hook End",174916500,7,Detached,5,5000,Yes,-,Yes,Band: G
1755,"Roundwood Grove, Hutton Mount, Brentwood",174916500,5,Detached,3,0,Yes,-,Yes,Ask agent
1756,"Hillwood Close, Hutton Mount, Brentwood",174916500,5,Detached,3,0,Yes,-,Yes,Ask agent
1758,"Hillwood Grove, Hutton Mount, Brentwood",169616000,5,Detached,2,0,Yes,-,Yes,Ask agent
1759,"Hutton Gate, Hutton Mount, Brentwood",169616000,4,Detached,2,0,Yes,-,Yes,Ask agent
1760,"The Chase, Seven Arches Road, CM14",164315500,5,Detached,3,2000,Yes,-,Yes,Band: H
1761,"Doddinghurst Road, Pilgrims Hatch, CM15",159015000,4,Detached,3,0,Yes,-,Yes,Band: G
1762,"Doddinghurst Road, Pilgrims Hatch, CM15",159015000,4,Detached,3,0,Yes,-,Yes,Band: G
1763,"Mores Lane, Pilgrims Hatch, Brentwood",159015000,4,Detached Bungalow,3,0,Yes,-,Yes,Band: G
1764,"Blackmore Road, Brentwood, CM15",159015000,4,Detached,3,0,Yes,-,Yes,Band: G
1765,"Weston Close, Hutton Burses, Brentwood",159015000,6,Detached,5,0,Yes,-,Yes,Band: F
1766,"Hatch Road, Brentwood",159015000,4,Detached,1,0,Yes,-,Yes,Ask agent
1768,"London Road, Brentwood",159015000,5,Detached,4,0,Yes,-,Yes,Ask agent
1769,"** SIGNATURE HOME ** Cory Drive, Hutton, Brentwood",158484950,4,Detached,2,0,Yes,-,Yes,Band: G
1770,"** SIGNATURE HOME ** Navestock Side, Brentwood",153714500,4,Detached,3,3000,Yes,-,Yes,Band: G
1771,"Park Avenue, Hutton, Brentwood, CM13",153714500,5,Detached,3,0,Yes,-,Yes,Ask agent
1772,"Doddinghurst Road, Doddinghurst, Brentwood",148414000,8,House,5,0,Yes,-,Yes,Ask agent
1773,"Dark Lane, Great Warley, Brentwood, Essex, CM14",148414000,4,Detached,2,0,Yes,-,Yes,Band: TBC
1774,"Crescent Drive, Shenfield, CM15",148414000,4,Detached,3,2000,Yes,-,Yes,Band: G
1775,"Broomwood Gardens, Pilgrims Hatch, BRENTWOOD",51944900,3,Semi-Detached,3,0,"Back garden,",-,Off street,Band: D
1776,"Shenfield Place, Shenfield, CM15",148414000,4,Detached,2,0,Yes,-,Yes,Band: G
1777,"Sandpit Cottage, Brentwood",148414000,4,Detached,3,3000,Private garden,-,Off street,Ask agent
1779,"Chelmsford Road, Shenfield, Brentwood, CM15",148414000,4,Detached,2,0,Yes,-,Yes,Ask agent
1781,"Nags Head Lane, Brentwood, Essex, CM14",143113500,5,Detached,3,0,Yes,-,Yes,Band: G
1782,"Spurgate, Hutton Mount, CM13",143113500,4,Detached,4,2000,Yes,-,Yes,Band: TBC
1783,"Roman Road, Mountnessing, Brentwood",143113500,6,Detached,3,0,Yes,-,Yes,Band: G
1784,"Spurgate, Hutton, Brentwood, Essex, CM13",143113500,4,Detached,4,3000,Private garden,-,Driveway,Ask agent
1785,"Spurgate, Hutton, Brentwood",143113500,4,Detached,4,0,Yes,-,Ask agent,Ask agent
1786,"Newmans Drive, Hutton, CM13",140463250,3,Bungalow,2,1000,Yes,-,Yes,Band: F
1787,"Worrin Road, Shenfield, Brentwood, CM15",137813000,4,Detached,2,0,Yes,-,Yes,Ask agent
1788,"Headley Chase, Warley, CM14",137813000,4,Detached,3,2000,Yes,-,Yes,Band: G
1789,"Rochford Avenue, Shenfield, Brentwood, CM15",137813000,4,Detached,2,0,Yes,-,Yes,Ask agent
1790,"Willow Close, Nr Hutton Mount, Brentwood, Essex, CM13",137813000,3,Detached,3,1000,Private garden,-,Driveway,Ask agent
1791,"Headley Chase, Brentwood",137813000,4,Detached,4,2000,Private garden,-,Off street,Ask agent
1792,"Hall Lane, Shenfield, Brentwood",137282950,6,Detached,2,0,Yes,-,Yes,Ask agent
1793,"Friars Avenue, Shenfield, Brentwood",135162750,4,Detached,3,0,Yes,-,Yes,Ask agent
1794,"Boyles Court, Dark Lane, Great Warley, Brentwood, CM14",135162750,5,Terraced,4,2000,Ask agent,-,Yes,Band: G
1795,"Headley Chase, Brentwood, Essex, CM14",135162750,5,Detached,3,0,Yes,-,Yes,Ask agent
1796,"Hanover Place, Warley, CM14",132512500,5,Detached,3,0,Yes,-,Yes,Band: H
1797,"Brook Road, Brentwood, CM14",132512500,4,Detached,3,0,Yes,-,Yes,Band: F
1798,"Chelmsford Road, Shenfield Brentwood, Essex, CM15",132512500,4,Detached,2,0,Yes,-,Yes,Ask agent
1799,"Shenfield Gardens, Hutton, Brentwood, CM13",132512500,4,Detached,3,0,Yes,-,Yes,Ask agent
1800,"Orchard Lane, Pilgrims Hatch, Brentwood",65196150,4,Detached Bungalow,2,0,Yes,-,Yes,Band: D
1801,"** SIGNATURE HOME ** Great Warley Street, Great Warley, Brentwood",132512500,4,Detached,2,0,Yes,-,Yes,Band: G
1802,"Brook Lane, Doddinghurst, Brentwood, Essex, CM15",132512500,4,Detached,3,0,Yes,-,Yes,Band: G
1803,"King William IV, Tan House Lane",132512500,4,Detached,3,2000,Yes,-,Yes,Band: G
1804,"** SIGNATURE HOME ** Hook End Road, Hook End",132512500,4,Detached,3,2000,Yes,-,Yes,Band: G
1805,"Oakwood Avenue, Hutton, CM13",132512500,4,Detached,3,0,Yes,-,Yes,Band: G
1806,"Coxtie Green Road, Brentwood",132512500,5,Detached,3,4000,Private garden,-,Off street,Ask agent
1807,"Great Warley Street, Great Warley, CM13",132512500,4,Detached,2,0,Yes,-,Yes,Band: G
1808,"Chelmsford Road, Shenfield",132512500,4,Detached,4,2000,Yes,-,Yes,Band: G
1809,"Warley HQ, Eagle way, Great Warley, Brentwood, CM13 3BW",132512500,3,Penthouse,3,1000,Terrace,"TENURE
Leasehold","Secure,",Ask developer
1810,"Glanthams Road, Shenfield, Brentwood, CM15",129862250,4,Detached,2,0,Yes,-,Yes,Ask agent
1811,"Nags Head Lane, Brentwood",127212000,4,Detached,3,0,Yes,-,Yes,Band: F
1812,"Brentwood Road, Herongate, Brentwood",127212000,5,Detached,2,3000,On street,-,-,Band: G
1813,"Mount Crescent, Warley, Brentwood",127212000,6,Detached,3,2000,Yes,-,Yes,Ask agent
1814,"Brentwood Road, Herongate, CM13",127212000,5,Detached,2,0,Yes,-,Yes,Band: G
1815,"London Road, Brentwood, CM14",127212000,4,Detached,3,1000,Yes,-,Yes,Band: G
1816,"London Road, Brentwood, CM14",127212000,5,Detached,4,0,Yes,-,Off street,Ask agent
1817,"Eleanor Way, Warley, Brentwood, Essex",126681950,4,Detached,3,2000,Yes,-,Yes,Band: TBC
1818,"Park Avenue, Hutton, Brentwood, Essex, CM13",126681950,5,Detached,3,0,Yes,-,Yes,Ask agent
1819,"Wansford Close, Brentwood",126681950,5,Detached,3,2000,Yes,-,Yes,Band: F
1820,"High Street, Brentwood, Essex, CM14",124561750,4,Terraced,2,0,Yes,-,Yes,Band: F
1821,"Sebastian Avenue, Shenfield, Brentwood, Essex, CM15",124561750,3,Detached,2,0,Enclosed garden,-,Driveway,Ask agent
1822,"Hatch Road, Brentwood",121911500,5,Detached,3,2000,Private garden,-,Off street,Ask agent
1823,"Magpie Lane, Little Warley, Brentwood, CM13",121911500,3,Detached,2,0,Ask agent,-,Yes,Band: F
1824,"Hanging Hill Lane, Hutton, CM13",116611000,4,Detached,2,1000,Yes,-,Yes,Band: G
1825,Welcome to Candleford Mews - Brentwood,95409000,4,Detached,2,1000,"Back garden,",-,"No disabled parking,",Ask agent
1826,"The Avenue, Thorndon Park, CM13",116611000,4,Detached,2,0,Yes,-,Yes,Band: F
1827,"Doddinghurst Road, Pilgrims Hatch, Brentwood",116611000,4,Detached,2,0,Yes,-,Yes,Band: G
1828,Welcome to Candleford Mews - Brentwood,116611000,5,Semi-Detached,3,1000,"Back garden,",-,"On street,",Ask agent
1829,"Nags Head Lane, Brentwood, Essex, CM14",116611000,4,Detached,3,0,Yes,-,Yes,Band: F
1830,"Cornsland, Brentwood, CM14",116611000,4,Semi-Detached,4,2000,Yes,-,Ask agent,Band: G
1831,"Headley Chase, Warley, CM14",116611000,4,Detached,2,1000,Yes,-,Yes,Band: G
1832,"Dark Lane, Great Warley, Brentwood, Essex, CM14",116611000,4,Mews,3,0,Yes,-,Yes,Band: TBC
1833,"Selwood Road, Brentwood, CM14",111310500,4,Detached,1,1000,Yes,-,Yes,Band: G
1834,"Hanging Hill Lane, Hutton, Brentwood, Essex, CM13",111310500,4,Detached,2,0,Yes,-,Driveway,Ask agent
1835,"Tennyson Road, Hutton, Brentwood, Essex, CM13",111310500,4,Detached,2,0,Yes,-,Yes,Ask agent
1836,"Nags Head Lane, Brentwood",106010000,4,Detached Bungalow,3,2000,Private garden,-,Off street,Band: E
1837,"Priests Lane, Shenfield, Brentwood, CM15",106010000,3,Semi-Detached,1,0,Yes,-,Yes,Ask agent
1838,"Outings Lane, Doddinghurst",106010000,5,Detached,3,0,Yes,-,Yes,Ask agent
1839,"Poplar Drive, Hutton, CM13",106010000,5,Detached,3,0,Yes,-,Yes,Band: G
1840,"London Road, Brentwood",106010000,4,Semi-Detached,2,0,Yes,-,Yes,Ask agent
1841,"Watlington Gardens, Great Warley, CM13",106010000,4,Detached,2,1000,Yes,-,Yes,Band: G
1842,"Alexander Lane, Hutton, CM13",106010000,4,Semi-Detached,2,0,Yes,-,Yes,Band: E
1843,"Doddinghurst Road, Pilgrims Hatch, Brentwood, Essex, CM15",106010000,5,Bungalow,3,0,Yes,-,Yes,Band: F
1844,"Cricketers Lane, Herongate, Brentwood",106010000,3,Detached,2,1000,Yes,-,Yes,Ask agent
1845,"Outings Lane, Doddinghurst, Brentwood",106010000,5,Detached,2,2000,Yes,-,Yes,Band: G
1846,"Eleanor Way, Warley, CM14",106010000,3,Detached,1,0,Yes,-,Yes,Band: F
1847,"Hook End Road, Hook End, CM15",106010000,4,Detached,4,0,Yes,-,Yes,Band: F
1848,"Hook End Road, Hook End, Brentwood, Essex, CM15",106010000,4,Detached,4,0,Yes,-,Yes,Band: TBC
1849,"St. Nicholas Grove, Ingrave, Brentwood, Essex, CM13",106010000,5,Detached,2,2000,Yes,-,Yes,Band: G
1850,"Westwood Avenue, Brentwood",66256250,3,Semi-Detached,1,1000,Yes,-,Yes,Band: E
1851,"Rayleigh Road, Hutton, CM13",106010000,5,Detached,3,2000,Yes,-,Yes,Band: G
1852,"Pine Court, Great Warley, Brentwood, Essex, CM13",106010000,3,Detached,3,0,Yes,-,Yes,Band: TBC
1853,"Days Lane, Pilgrims Hatch, Brentwood, Essex, CM15",106010000,3,Detached,2,0,Yes,-,Yes,Band: E
1854,"Roman Road, Shenfield",106010000,4,Detached,3,0,Yes,-,Yes,Ask agent
1855,"Riseway, Brentwood, Essex",105479950,4,Detached,3,0,Yes,-,Yes,Ask agent
1857,"Boyles Court, Dark Lane, Great Warley, Brentwood, CM14",105479950,4,Terraced,4,1000,Ask agent,-,Yes,Band: E
1858,"School Road, Kelvedon Hatch, Brentwood, Essex, CM15",105479950,4,Detached,2,0,Private garden,-,Driveway,Ask agent
1860,"Poplar Drive, Hutton, Brentwood, Essex, CM13",103359750,5,Detached,3,0,Yes,-,Yes,Ask agent
1861,"Holmwood Avenue, Shenfield, Brentwood",103359750,4,Detached,2,1000,Yes,-,Ask agent,Band: F
1862,"Mulberry Hill, Shenfield, Brentwood",103359750,4,Detached,2,0,Yes,-,Yes,Ask agent
1863,"Spurgate, Hutton, CM13",100709500,4,Detached,2,0,Yes,-,Yes,Band: G
1864,"Coxtie Green Road, Pilgrims Hatch",100709500,4,Semi-Detached,2,1000,Yes,-,Yes,Band: E
1865,"Doddinghurst Road, Brentwood, Essex, CM15",100709500,5,Detached,2,0,Yes,-,Yes,Band: F
